,arithmetic_mu,sigma,naive_md,adjusted_md,enb,div_ratio_sqrd
1878-06-30,0.06096924269562356,0.08309481587219862,-0.20489076493474806,-0.2944915615933091,1.5724152393844175,1.6140924717255685
1878-07-31,0.061008354093054246,0.08309481596978052,-0.20482779725393202,-0.2944081511532508,1.5724152374715585,1.6140924704782347
1878-08-31,0.06091456691820946,0.08309481588818206,-0.20497879112404135,-0.2946081585963938,1.5724152390711004,1.614092471521262
1878-09-30,0.05974970073140497,0.08309481586402503,-0.20682405865250825,-0.2970503857307649,1.572415239544641,1.6140924718300467
1878-10-31,0.05984818522600914,0.0830948157965061,-0.2066703829203749,-0.2968471375795312,1.5724152408681875,1.6140924726931034
1878-11-30,0.05967531789175687,0.0830948159516934,-0.20694012616035448,-0.2972038768501546,1.5724152378261131,1.614092470709432
1878-12-31,0.05869001668867439,0.08188761860680216,-0.20429763162031583,-0.2937056917543709,1.596496344004055,1.6296095471702148
1879-01-31,0.05753359859815013,0.0818876186199472,-0.2061021098935768,-0.29609532649862286,1.5964963437373096,1.6296095470003533
1879-02-28,0.057261599988863494,0.08188761852920931,-0.20652653701836143,-0.2966568666074221,1.596496345578602,1.6296095481728756
1879-03-31,0.05730512961307157,0.08188761854750062,-0.20645861332660276,-0.2965670131970253,1.596496345207427,1.6296095479365134
1879-04-30,0.056369002035878635,0.08188761852781284,-0.20791934951404142,-0.29849824100047606,1.5964963456069394,1.6296095481909203
1879-05-31,0.0542266802762522,0.08069431586840793,-0.20713261901331131,-0.2974584024480101,1.621113935081219,1.6451018952907672
1879-06-30,0.0547295501277601,0.08069431594941118,-0.20634793968168202,-0.2964205967906258,1.6211139333830022,1.645101894234513
1879-07-31,0.05488680943727649,0.08069431595301461,-0.20610255179987452,-0.29609591126767454,1.6211139333074571,1.645101894187526
1879-08-31,0.05540404748476645,0.08188761852538315,-0.2094250674570585,-0.30048648217477425,1.596496345656244,1.6296095482223167
1879-09-30,0.0535717234597896,0.0806943159566907,-0.20815461588306178,-0.298809065356362,1.6211139332303885,1.6451018941395916
1879-10-31,0.05190393111665441,0.08069431590288384,-0.21105158372894053,-0.3026314307328861,1.6211139343584386,1.645101894841214
1879-11-30,0.05142870203709639,0.08069431582898982,-0.21189667444098165,-0.3037447350319905,1.6211139359076117,1.6451018958047656
1879-12-31,0.05164929321620078,0.08069431582553949,-0.21150440126785025,-0.3032280604995484,1.6211139359799474,1.6451018958497563
1880-01-31,0.05130193635370651,0.08069431585348932,-0.21212209956605316,-0.3040415725090116,1.621113935393984,1.6451018954853012
1880-02-29,0.050128253009388654,0.07951553327421763,-0.21003610657569993,-0.3012926238563216,1.6462093631774066,1.6605293318471195
1880-03-31,0.049945307745544995,0.07951553317119572,-0.21036143433695154,-0.3017216600413101,1.6462093654036651,1.6605293331999
1880-04-30,0.050614439754732135,0.07951553322507078,-0.2091715296164844,-0.3001518700643959,1.6462093642394489,1.6605293324924668
1880-05-31,0.05258650359221127,0.08069431588881602,-0.20983777783440113,-0.30103101448975805,1.621113934653367,1.6451018950246532
1880-06-30,0.051517031875668126,0.0806943159095984,-0.21173959942416698,-0.30353786722709014,1.6211139342176695,1.645101894753658
1880-07-31,0.05109952422484283,0.08069431580270858,-0.21248204508613877,-0.30451542916732177,1.621113936458592,1.645101896147464
1880-08-31,0.05085066160732514,0.08069431578829625,-0.21292459276643486,-0.30509783357536036,1.6211139367607441,1.6451018963353952
1880-09-30,0.051311561410604584,0.08069431587625736,-0.21210498358686358,-0.30401903632532756,1.621113934916657,1.6451018951884138
1880-10-31,0.05009072628146142,0.07951553314444872,-0.2101028391817636,-0.3013806390640027,1.6462093659816566,1.6605293335511155
1880-11-30,0.049081433611214524,0.07951553314615134,-0.21189764543484094,-0.3037460137465472,1.6462093659448636,1.6605293335287585
1880-12-31,0.047925873521186366,0.07951553326696126,-0.21395255673272096,-0.30644982984285996,1.6462093633342139,1.6605293319424024
1881-01-31,0.04651537245796288,0.07835192598999759,-0.2122372080582811,-0.30419312462393,1.6717101469197957,1.675846990946057
1881-02-28,0.04708661681518709,0.0795155331617717,-0.21544499082801372,-0.30841063654333567,1.6462093656073136,1.660529333323648
1881-03-31,0.04641238796896199,0.07835192604725162,-0.21242034365346657,-0.3044342113440519,1.6717101456479202,1.6758469901907942
1881-04-30,0.0464524651283549,0.07835192605584489,-0.21234907522292673,-0.3043403952341187,1.6717101454570236,1.6758469900774366
1881-05-31,0.04522224550473877,0.0783519260756582,-0.2145367518039374,-0.3072176554650816,1.6717101450168788,1.6758469898160704
1881-06-30,0.04547138826316445,0.078351926120405,-0.21409370606657058,-0.3066353811656589,1.6717101440228466,1.6758469892257957
1881-07-31,0.04613449432760554,0.078351926030515,-0.21291451664895666,-0.30508457553596047,1.6717101460197177,1.6758469904115738
1881-08-31,0.04726681940768926,0.07951553315625563,-0.2151245399137468,-0.30798982464610186,1.6462093657265142,1.6605293333960789
1881-09-30,0.04692208445437505,0.07951553325234373,-0.21573757597166093,-0.30879475682870394,1.6462093636500925,1.6605293321343453
1881-10-31,0.04778489860167447,0.07951553323854862,-0.21420324968783228,-0.3067793693188847,1.6462093639481983,1.6605293323154893
1881-11-30,0.04766133090598369,0.07951553326332526,-0.21442298789605777,-0.30706816148283944,1.6462093634127863,1.6605293319901466
1881-12-31,0.048465629432866295,0.07951553326772283,-0.21299271890980867,-0.30518747024047743,1.6462093633177572,1.6605293319324022
1882-01-31,0.04871988458923814,0.07951553320025209,-0.21254058148360616,-0.30459247697202535,1.6462093647757698,1.6605293328183606
1882-02-28,0.0490229326728441,0.07951553322917806,-0.21200167685901167,-0.30388300808640006,1.646209364150692,1.6605293324385337
1882-03-31,0.04880150478298152,0.07951553315909698,-0.21239543767276095,-0.30440142632346745,1.646209365665114,1.6605293333587685
1882-04-30,0.04991705021678422,0.08069431590567418,-0.2145848168196405,-0.3072808120852075,1.6211139342999394,1.6451018948048282
1882-05-31,0.049853214579049024,0.0806943159004957,-0.21469833452028836,-0.30742996234126485,1.6211139344085057,1.6451018948723548
1882-06-30,0.04989974530176706,0.0806943158355875,-0.21461558958210322,-0.30732124564183944,1.6211139357692925,1.645101895718734
1882-07-31,0.048612313429682134,0.07951553317633694,-0.21273187317452055,-0.3048442359951197,1.6462093652925656,1.6605293331323911
1882-08-31,0.04868926144851182,0.07951553322058375,-0.2125950381148703,-0.30466415145096426,1.646209364336412,1.6605293325513857
1882-09-30,0.04837134207511345,0.07951553327314707,-0.21316038837136733,-0.3054080588317717,1.6462093632005412,1.660529331861177
1882-10-31,0.048660399207305235,0.07951553330641706,-0.2126463636093312,-0.30473170181851383,1.6462093624815912,1.6605293314243084
1882-11-30,0.049369070561978326,0.07951553326070736,-0.21138614644996476,-0.3030722703964141,1.6462093634693582,1.6605293320245225
1882-12-31,0.0490144515338645,0.0795155332086139,-0.2120167586349048,-0.3039028676159741,1.6462093645950746,1.6605293327085622
1883-01-31,0.04909815503964509,0.07951553327904373,-0.21186791051443574,-0.3037068549692113,1.6462093630731172,1.660529331783748
1883-02-28,0.05012441877611164,0.08069431586344414,-0.21421605704869012,-0.3067962029218515,1.6211139351852837,1.6451018953554932
1883-03-31,0.04985843541049448,0.08069431587365153,-0.2146890503201931,-0.30741776441623675,1.6211139349712875,1.6451018952223924
1883-04-30,0.04933840129443705,0.07951553329667506,-0.21144068516445105,-0.3031441221663522,1.646209362692112,1.6605293315522303
1883-05-31,0.04994008189621442,0.08069431586753328,-0.21454385988296926,-0.3072269955211866,1.6211139350995556,1.6451018953021728
1883-06-30,0.049387555315771076,0.07951553328845438,-0.21135327545934174,-0.30302896308591387,1.6462093628697572,1.6605293316601757
1883-07-31,0.04989825518563074,0.08069431589072228,-0.2146182396194326,-0.3073247275825812,1.6211139346134034,1.6451018949997962
1883-08-31,0.05096677609543032,0.08069431585397009,-0.21271810877595396,-0.30482612201205844,1.6211139353839057,1.645101895479031
1883-09-30,0.050633143129244336,0.08069431582980191,-0.2133114019452317,-0.30560670820519703,1.6211139358905864,1.6451018957941759
1883-10-31,0.05076892924298504,0.08069431580140494,-0.213069935944308,-0.30528906203185613,1.6211139364859228,1.6451018961644626
1883-11-30,0.05032796610567909,0.08069431583451522,-0.21385409254528515,-0.30632037835108994,1.6211139357917728,1.645101895732716
1883-12-31,0.050951464966557225,0.08069431585001861,-0.21274533625584194,-0.3048619532423188,1.6211139354667472,1.6451018955305579
1884-01-31,0.05138872770899736,0.08069431584202541,-0.21196776008506943,-0.3038383459083428,1.6211139356343232,1.6451018956347858
1884-02-29,0.05135000356644262,0.08069431588340255,-0.21203662264617784,-0.30392902396281696,1.62111393476686,1.6451018950952432
1884-03-31,0.051082437289788785,0.08069431589980788,-0.21251243080027446,-0.30455542445587264,1.621113934422925,1.645101894881323
1884-04-30,0.05205023001656843,0.08069431590230991,-0.210791423134066,-0.3022885426210157,1.6211139343704712,1.6451018948486977
1884-05-31,0.05487861772009911,0.08188761857886415,-0.21024494980965597,-0.30156805579871115,1.5964963445709848,1.6296095475312313
1884-06-30,0.05731451634027906,0.08309481583665008,-0.21062392752409284,-0.30206774629722305,1.5724152400812612,1.6140924721799659
1884-07-31,0.054311047226778666,0.0818876185762752,-0.21113058848648322,-0.3027355431869922,1.5964963446235205,1.6296095475646863
1884-08-31,0.05433791174518486,0.08188761856701395,-0.21108866898000572,-0.30268030252454614,1.5964963448114542,1.629609547684361
1884-09-30,0.054623150057185585,0.08188761860543964,-0.2106435824026463,-0.30209365738002053,1.5964963440317035,1.6296095471878216
1884-10-31,0.0553646488197034,0.08188761862966656,-0.2094865456121851,-0.3005676086629976,1.59649634354008,1.6296095468747591
