,arithmetic_mu,sigma,naive_md,adjusted_md
1900-09-30,0.06917077401651936,0.08282688984272243,-0.19218557946602094,-0.2775732348472528
1900-10-31,0.06799151499147488,0.08341879956554463,-0.1958045967130475,-0.2824104328535461
1900-11-30,0.06405645417502287,0.08120571274465542,-0.1936534341826375,-0.2795369140691871
1900-12-31,0.06267525165219717,0.08121918564817202,-0.19573601829293283,-0.28231890448260166
1901-01-31,0.06570535129563183,0.08307635502302467,-0.1977582945683903,-0.285015767892176
1901-02-28,0.06568590312490692,0.0828712342997563,-0.1970879379314831,-0.28412229339085254
1901-03-31,0.06485315430968341,0.08309894943821765,-0.19899705248147498,-0.286665526553313
1901-04-30,0.06262649150316124,0.08260867050254246,-0.20056118120913707,-0.2887461977997601
1901-05-31,0.07096311566153446,0.08521887839378989,-0.19756047970329693,-0.284752164812782
1901-06-30,0.06088455928996372,0.08194333174330684,-0.20106611937805216,-0.28941731363701884
1901-07-31,0.06313927876193594,0.08219554667862228,-0.19832400189326616,-0.2857693775847344
1901-08-31,0.06236480148814699,0.08197749211463078,-0.19882592055508733,-0.2864377161838675
1901-09-30,0.061537198407464445,0.08091868198638134,-0.19650155019725057,-0.28334033022928096
1901-10-31,0.061775980638919946,0.08139139681688036,-0.1977647591167444,-0.2850243816592767
1901-11-30,0.05982047925914108,0.08046241125763728,-0.1976017531121743,-0.2848071682657176
1901-12-31,0.062196100444454665,0.08194969905766347,-0.19900257655988912,-0.28667287965521715
1902-01-31,0.07032237713732435,0.08384197646089361,-0.1939852474273248,-0.2799804815916612
1902-02-28,0.06968174231516303,0.0846698347289755,-0.19765844443613673,-0.2848827155147096
1902-03-31,0.06914323517929613,0.08362612085210715,-0.19493870273695246,-0.2812543854386551
1902-04-30,0.06766265068925488,0.0828559754810153,-0.19434075418477087,-0.2804555881809868
1902-05-31,0.06878334001725855,0.08420096644012835,-0.1973831391864017,-0.2845158087396295
1902-06-30,0.06841051747932791,0.08360391096566043,-0.19586230705490548,-0.28248745210642495
1902-07-31,0.06907157457405064,0.08378339000480907,-0.19557087491086933,-0.28209847419947587
1902-08-31,0.06870130522778231,0.08416409980312703,-0.19736968468450908,-0.28449787542313465
1902-09-30,0.06893459310802916,0.0838818667993682,-0.196092331862367,-0.2827944029482975
